Ticker,Sector,Industry,Market Cap,PE Ratio,Beta,Dividend Yield,Revenue,Net Income,Treynor Ratio,Jensen's Alpha,Tracking Error,Information Ratio,Annual Return
LIN,Basic Materials,Specialty Chemicals,218232750080,34.800304,0.9208041370916566,0.012200001,33024999424,6383000064,0.1913838358315693,0.07748626877605927,0.17230694242659983,0.0015889382776393217,0.1908617098360259
AZN,Healthcare,Drug Manufacturers - General,221475143680,34.67476,0.53981602043211,0.0208,49132998656,6440000000,0.1828806628479694,0.040835721239864314,0.2548044642851386,-0.0001325521850098614,0.10208498569331859
CCL,Consumer Cyclical,Travel Services,29399932928,18.726496,1.921315719809155,N/A,24479000576,1564999936,0.041308335311223576,-0.12666244721333159,0.6567242358266384,-0.00016838522300714404,-0.15949364350916828
SSE,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,,,,
MMM,Industrials,Conglomerates,68532748288,13.095734,0.7732297900260111,0.022,32637999104,5321999872,0.02132337576103933,-0.06642802262420515,0.25092601152647004,-0.0014350861868206632,0.0059652211022358514
AXP,Financial Services,Credit Services,190333992960,19.896172,1.3022597259486233,0.010299999,59238998016,9760000000,0.16505131707058462,0.07529422673632927,0.2763016851768353,0.0015468843173751731,0.1894501890530491
AAPL,Technology,Consumer Electronics,3355858698240,36.45484,1.1814118559993254,0.0045,391034994688,93736001536,0.21157287092291582,0.1232681437344478,0.199112765206372,0.002844394311008979,0.26025222011206295
BA,Industrials,Aerospace & Defense,115926614016,N/A,1.458352834905884,N/A,73292996608,-7975000064,-0.03936939474794547,-0.2137982856396177,0.4212346165619702,-0.001551068389470225,-0.14592544592468026
CAT,Industrials,Farm & Heavy Construction Machinery,182573776896,17.488155,0.946395305784289,0.0149,65664000000,10677000192,0.24773667301256277,0.13297184289036157,0.25396349965322046,0.0019879066025493956,0.2387423773117825
CVX,Energy,Oil & Gas Integrated,274528518144,16.938395,0.9940809710734536,0.042600002,191829000192,16680999936,0.12490981076944131,0.01757199876912599,0.28888299500505266,0.00023265972546428258,0.09614910196813642
CSCO,Technology,Communication Equipment,222539513856,21.980316,0.9007891555688293,0.028800001,53802999808,10320000000,0.07140879454066709,-0.03227022110861018,0.19720442542695293,-0.000863436380901923,0.06073126882742663
